assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clean_sheets_per_90,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,form,form_rank,form_rank_type,goals_conceded,goals_conceded_per_90,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,red_cards,saves,saves_per_90,second_name,selected_by_percent,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
9,18,648,None,None,14,0.45,444145,4,,0,0,0,0,838.1,17,14,3,,0,3,3.2,None,0,6.98,0.23,16.13,0.53,9.15,36.16,1.17,0.3,Gabriel,0.0,575,241,33,1.06,15,298.1,7,5,12,False,844.2,18,8,2789,,None,80,16,9,0,0,3,0,,444145.jpg,5.5,10,5,0,0,0.0,Martinelli Silva,14.1,29,10,False,None,34,1.1,a,1,3,1300.0,7,3,198,0,0,0,0,0.0,24.8,Martinelli,3
2,5,161,None,None,2,0.17,205533,None,,0,0,0,0,128.5,196,23,None,,0,4,2.3,None,0,1.26,0.11,9.15,0.77,7.89,14.65,1.23,0.66,Eddie,0.0,486,44,16,1.34,4,93.8,125,19,13,False,213.4,239,23,1071,,None,55,117,32,0,0,None,0,,205533.jpg,2.1,240,29,0,0,0.0,Nketiah,0.8,193,36,False,None,9,0.76,a,1,3,607.0,40,13,63,0,0,0,0,0.0,11.5,Nketiah,3
8,30,813,None,None,13,0.37,184029,3,,0,0,0,0,1140.3,6,4,1,,0,3,3.4,None,0,8.02,0.23,17.77,0.51,9.75,37.94,1.09,0.28,Martin,0.0,577,243,38,1.09,15,304.9,6,4,14,False,971.8,10,4,3132,,None,85,8,6,0,0,None,0,,184029.jpg,5.7,6,3,0,0,0.0,Ødegaard,20.4,17,7,False,None,37,1.06,a,1,3,934.0,18,9,212,0,0,0,0,0.0,24.9,Ødegaard,4
0,6,468,None,None,11,0.4,167199,None,,0,0,0,0,444.1,62,53,None,,0,3,2.1,None,0,2.17,0.08,4.76,0.17,2.59,32.27,1.17,0.09,Thomas,0.0,366,107,28,1.02,3,121.5,86,60,15,False,526.6,92,41,2480,,None,50,197,128,0,0,None,0,,167199.jpg,2.6,184,72,0,0,0.0,Partey,0.2,373,113,False,None,28,1.02,a,1,3,242.0,124,79,86,0,0,0,0,0.0,17.2,Thomas,5
0,0,0,None,None,0,0,195735,None,,0,0,0,0,0.0,557,238,None,,0,3,2.1,None,0,0.00,0,0.00,0,0.00,0.00,0,0,Nicolas,0.0,383,120,0,0,0,0.0,559,238,16,False,0.0,558,238,0,,None,50,214,141,0,0,None,0,,195735.jpg,0.0,559,238,0,0,0,Pépé,0.1,507,176,False,None,0,0,a,1,3,0.0,555,238,0,0,0,0,0,0.0,0.0,Pepe,0
0,9,664,None,None,14,0.37,225321,None,,0,0,0,0,0.0,565,68,None,,0,1,3.7,None,0,0.02,0.0,0.02,0.0,0.00,42.31,1.11,0.0,Aaron,0.0,405,65,43,1.13,0,76.5,163,8,17,False,764.8,28,8,3420,,None,50,236,10,0,0,None,0,,225321.jpg,3.8,64,13,0,94,2.47,Ramsdale,27.9,12,2,False,None,38,1.0,a,1,3,0.0,563,65,143,0,0,0,0,0.0,28.6,Ramsdale,1
0,0,0,None,None,0,0,115918,None,,0,0,0,0,0.0,387,28,None,,0,1,1.5,None,0,0.00,0,0.00,0,0.00,0.00,0,0,Rúnar Alex,0.0,29,18,0,0,0,0.0,401,40,18,False,0.0,399,40,0,,None,40,513,43,0,0,None,0,,115918.jpg,0.0,405,40,0,0,0,Rúnarsson,0.3,337,52,False,None,0,0,a,1,3,0.0,369,19,0,0,0,0,0,0.0,0.0,Rúnarsson,0
12,19,678,None,None,12,0.34,223340,1,,0,0,0,0,1106.1,8,6,None,,0,3,3.4,None,0,5.97,0.17,17.46,0.49,11.49,39.66,1.12,0.32,Bukayo,0.0,578,244,42,1.19,14,333.4,5,3,19,False,1014.2,7,2,3183,,None,85,9,7,0,1,1,0,,223340.jpg,5.3,11,6,0,0,0.0,Saka,50.6,3,1,False,None,37,1.05,a,1,3,1214.0,9,4,202,0,0,0,0,0.0,23.8,Saka,6
1,14,571,None,None,12,0.45,462424,None,,0,0,0,0,100.8,232,74,None,,0,2,2.8,None,0,0.32,0.01,1.23,0.04,0.91,26.86,1.0,0.03,William,0.0,435,184,25,0.93,2,74.5,168,47,20,False,529.0,90,30,2415,,None,50,266,32,1,0,None,0,,462424.jpg,4.3,27,2,0,0,0.0,Saliba,14.9,27,11,False,None,27,1.01,a,1,3,114.0,206,59,117,0,0,0,0,0.0,23.4,Saliba,4
0,0,129,None,None,2,0.25,437742,None,,0,0,0,0,57.2,275,145,None,,0,3,2.1,None,0,0.18,0.02,0.35,0.04,0.17,8.12,1.0,0.02,Albert,0.0,424,144,8,0.99,0,17.6,314,144,21,False,98.4,296,132,728,,None,50,255,165,0,0,None,0,,437742.jpg,1.5,318,139,0,0,0.0,Sambi Lokonga,0.0,579,244,False,None,8,0.99,a,1,3,20.0,315,157,23,0,0,0,0,0.0,4.6,Sambi,2
