id,xP
411,0.5
412,5.3
413,0.0
414,0.0
415,0.0
416,4.5
417,0.7
418,0.0
419,4.3
420,0.0
421,3.5
422,0.1
423,0.0
424,5.3
425,1.0
426,0.0
427,5.0
428,0.0
429,0.0
430,5.5
431,0.0
432,1.5
433,4.3
580,0.5
581,0.5
603,0.0
633,0.7
634,0.1
635,1.0
738,1.7
739,1.7
23,0.0
28,0.8
186,0.2
205,0.0
378,5.0
434,0.0
435,0.0
436,1.2
437,2.2
438,0.0
439,2.0
440,0.0
441,0.0
442,0.2
443,0.0
444,0.0
445,0.0
446,0.0
447,2.8
448,0.0
449,0.0
451,0.2
452,0.0
453,3.2
454,0.0
455,0.0
456,0.0
457,2.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,0.0
464,0.0
465,3.4
466,0.0
467,0.8
468,1.8
469,0.0
470,0.8
604,5.0
636,0.0
637,0.0
679,0.0
696,2.0
710,2.2
711,0.0
712,2.0
713,2.0
714,0.1
27,0.5
33,3.0
360,2.7
471,-0.2
472,-0.5
473,1.0
474,0.0
476,1.3
477,0.0
478,-0.5
479,-0.5
480,0.0
481,-0.3
482,1.3
483,0.0
484,-0.2
485,0.5
486,0.0
487,0.0
488,3.3
489,0.3
490,-0.3
576,0.5
587,0.0
592,-0.5
593,-0.3
638,1.0
653,-0.5
654,0.0
655,-0.5
656,-0.5
663,1.0
666,0.0
693,0.5
730,-0.3
731,-0.5
450,3.5
491,0.0
492,0.5
493,1.8
494,0.5
495,0.5
496,0.0
497,0.5
498,0.0
499,1.5
500,0.0
501,3.8
502,0.0
503,0.5
504,0.0
505,0.0
506,3.2
507,0.0
509,0.0
510,0.0
511,0.0
512,0.0
513,3.0
514,0.0
515,0.5
516,7.0
517,0.0
518,0.0
519,0.0
520,2.8
521,0.0
583,0.0
639,0.0
640,0.0
641,0.2
702,0.0
722,0.0
740,1.3
522,1.0
523,2.2
524,1.8
525,0.5
526,6.0
527,0.0
528,0.8
529,0.0
530,0.8
531,0.0
532,0.0
533,0.0
534,0.5
535,0.5
536,0.0
537,0.0
538,0.0
539,2.5
541,0.0
542,2.8
543,0.0
544,0.4
577,0.2
642,2.0
647,0.0
664,3.5
676,-0.5
689,3.5
351,1.2
545,1.0
546,0.0
547,0.0
548,0.0
549,0.0
550,0.0
551,1.0
552,0.0
554,0.0
555,0.0
556,0.0
557,4.5
559,0.8
560,0.0
561,0.0
562,3.0
563,1.2
564,0.0
565,5.2
567,0.0
568,0.0
569,1.8
570,2.8
571,0.0
572,1.0
573,2.5
574,0.8
590,4.0
598,0.5
697,0.0
698,0.0
704,0.0
715,2.2
