id,xP
1,0.0
2,0.5
3,0.5
4,3.2
5,3.2
6,1.5
8,3.5
9,1.2
10,0.5
11,0.0
12,1.2
13,2.2
14,4.2
15,0.0
16,0.0
17,1.2
18,0.0
19,8.2
20,3.5
22,0.8
24,0.0
25,1.2
26,4.2
29,4.8
30,0.0
31,3.8
113,3.8
540,5.2
578,1.2
585,0.0
646,0.5
32,0.0
34,2.3
35,0.0
36,2.0
37,0.0
38,0.0
39,0.0
40,0.7
41,0.0
42,3.7
43,4.7
44,2.3
45,0.0
46,0.0
47,1.7
48,3.3
49,3.0
50,2.0
51,0.0
53,0.0
54,0.0
55,0.3
56,0.0
57,0.0
58,1.0
59,0.0
60,5.3
61,0.0
584,3.7
599,3.3
618,0.0
670,0.0
672,1.3
686,0.0
699,0.0
62,0.0
63,2.3
64,3.0
65,3.3
66,2.3
67,0.0
68,0.0
69,0.0
70,3.0
71,0.0
72,1.7
73,0.0
74,0.0
75,0.3
76,0.0
77,4.0
78,1.3
79,0.0
80,0.0
81,0.0
82,0.7
83,1.7
84,0.0
85,5.0
86,3.0
87,0.3
88,0.0
89,2.3
595,1.7
607,0.0
619,0.0
643,2.3
644,0.0
673,0.0
705,0.5
90,0.3
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,2.0
97,0.0
98,0.0
99,0.0
100,0.0
101,1.7
102,0.0
103,0.0
104,1.0
105,3.0
106,6.7
107,1.3
108,3.7
109,0.8
110,1.7
111,1.0
112,1.3
114,1.0
115,2.0
116,0.0
117,0.0
118,0.0
119,1.7
120,0.0
121,0.0
258,0.0
620,0.7
684,0.0
701,0.0
122,2.7
123,0.0
124,0.0
125,0.3
127,0.0
128,2.3
129,0.8
130,0.0
131,2.7
132,4.7
133,6.0
134,2.1
135,3.3
136,0.0
137,0.0
138,1.0
139,2.7
140,1.0
141,0.0
142,0.1
143,7.0
144,0.0
146,0.0
147,0.0
148,1.0
149,0.0
150,1.0
151,1.7
152,1.3
153,0.7
154,3.0
155,0.0
606,0.0
621,0.0
690,0.3
700,0.7
156,-1.0
157,0.3
158,0.0
159,-0.7
160,0.0
161,2.0
162,0.0
163,-0.7
164,0.0
165,1.7
166,-1.0
167,0.0
168,0.0
169,-1.0
170,0.0
171,0.0
172,-1.0
173,-1.0
174,0.0
175,0.0
176,0.0
177,-0.7
178,0.3
179,0.0
180,0.0
181,-1.0
182,-1.0
183,0.0
184,-0.7
475,0.0
594,2.7
596,1.0
600,-0.7
605,2.0
608,-0.3
622,0.0
660,-1.0
674,-1.0
675,-0.3
694,-1.0
706,0.5
126,1.0
145,5.3
185,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.1
194,0.0
195,0.3
196,0.0
197,3.3
198,0.0
199,2.7
200,0.0
201,0.0
202,2.0
203,2.0
206,0.0
207,0.0
208,0.2
210,2.0
211,1.0
212,0.0
213,0.0
214,0.0
215,0.0
216,2.0
217,3.3
218,0.0
362,1.0
589,0.0
609,0.7
611,3.0
613,1.3
623,0.0
659,0.0
667,0.0
671,0.0
677,0.0
680,0.0
681,0.0
687,0.0
716,0.0
717,0.0
718,0.0
7,0.0
219,0.0
220,2.7
221,1.7
222,0.0
223,2.0
224,0.0
225,7.7
226,4.0
227,0.0
228,3.0
229,1.7
230,3.3
231,0.0
232,4.3
233,0.0
234,3.3
235,0.0
236,0.0
237,0.0
238,0.3
239,0.0
240,2.3
241,0.0
242,2.0
243,0.0
385,0.0
615,0.0
657,0.7
658,0.0
244,0.0
245,1.0
246,2.0
247,0.0
248,0.0
249,5.7
250,3.3
251,0.0
252,0.3
253,0.0
254,2.0
255,0.0
257,0.0
259,2.7
260,1.3
261,2.0
262,2.3
263,2.0
264,0.0
265,5.7
266,0.0
579,0.0
588,1.0
601,3.3
624,0.0
645,0.3
649,0.0
650,0.0
661,0.0
691,2.0
719,1.2
256,0.7
267,2.3
268,0.7
269,0.0
270,2.7
271,3.3
272,0.0
273,0.0
274,0.0
275,5.3
276,0.0
277,0.0
278,0.0
279,0.3
280,1.7
281,6.7
282,2.7
283,1.5
284,0.0
285,2.0
286,0.0
287,2.7
288,2.0
558,2.0
591,3.3
610,0.3
625,0.0
651,0.0
652,0.0
662,0.0
683,0.7
688,5.0
692,0.0
707,0.0
289,0.5
290,2.2
291,4.8
292,0.5
293,5.5
294,3.2
295,1.8
296,0.0
297,3.2
298,3.8
299,0.0
300,2.5
301,0.5
302,0.8
303,2.5
304,3.5
305,3.8
306,0.0
307,6.8
308,9.8
309,5.2
310,0.0
311,0.5
312,0.0
313,2.8
626,1.5
627,0.5
628,0.5
629,0.5
668,1.2
708,1.5
21,0.5
52,1.2
314,0.8
315,2.8
316,1.2
317,-0.5
318,1.2
319,0.0
320,0.0
321,1.5
322,0.0
323,0.0
324,0.0
325,0.0
326,4.8
327,0.0
328,0.8
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,-0.5
336,0.0
337,0.0
338,0.0
339,0.0
340,0.5
393,-0.5
553,0.5
575,1.2
582,0.5
586,0.5
602,2.2
614,0.8
630,0.0
631,1.2
648,0.0
665,-0.5
682,-0.5
341,4.0
342,4.3
343,9.0
344,0.0
345,1.7
346,0.0
347,1.0
348,0.0
349,0.0
350,4.3
352,4.7
353,7.0
354,0.8
355,11.7
356,0.4
357,0.0
358,1.7
359,0.0
361,1.0
363,0.0
364,1.7
365,1.0
366,2.7
367,1.0
368,0.0
369,6.0
566,3.3
616,3.7
678,5.0
209,0.5
370,0.0
371,0.0
372,0.0
373,5.3
374,0.0
375,0.0
376,3.3
377,3.7
379,4.0
380,0.0
381,0.0
382,1.7
383,3.7
384,1.0
386,3.7
387,0.8
388,0.0
389,0.0
390,2.0
391,2.7
392,2.7
394,1.3
395,0.7
396,5.0
397,0.0
398,0.0
399,1.0
400,1.0
401,0.0
508,3.0
597,4.0
617,2.7
632,1.0
669,1.0
685,1.0
695,1.0
703,5.0
709,0.8
204,1.3
402,4.3
403,4.3
404,0.0
405,8.0
406,6.7
407,7.0
408,0.0
409,1.0
410,0.0
411,1.0
412,7.0
413,0.0
414,0.0
415,3.3
416,0.0
417,0.0
418,0.0
419,1.3
420,0.0
421,7.0
422,1.0
423,1.0
424,5.7
425,1.0
426,0.0
427,5.3
428,1.0
429,1.7
430,10.0
431,0.0
432,0.0
433,6.7
580,1.0
581,1.0
603,2.7
633,1.3
634,0.8
635,1.0
23,-1.0
28,1.7
186,-1.0
205,2.7
378,2.3
434,0.0
435,-1.0
436,0.8
437,2.7
438,0.0
439,1.7
440,0.0
441,0.0
442,0.0
443,0.0
444,0.0
445,-1.0
446,0.0
447,1.0
448,-1.0
449,-1.0
451,-0.7
452,0.0
453,0.7
454,0.0
455,2.0
456,0.0
457,-0.7
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,0.0
464,0.0
465,-1.0
466,0.0
467,-1.0
468,0.0
469,2.7
470,0.0
604,1.7
636,-1.0
637,-1.0
679,-0.7
696,-1.0
710,-1.0
711,-1.0
712,0.0
713,0.0
714,-0.5
27,-1.0
33,4.0
360,0.7
471,-1.7
472,-1.0
473,-0.2
474,-0.3
476,1.0
477,0.0
478,-1.0
479,-1.0
480,-1.7
481,0.0
482,0.7
483,-0.2
484,0.0
485,0.0
486,0.0
487,0.0
488,0.7
489,0.0
490,-0.2
576,-0.7
587,-1.0
592,-0.7
593,-0.3
638,1.0
653,-1.0
654,0.0
655,-1.0
656,-1.0
663,3.7
666,-0.7
693,-1.0
450,0.5
491,-0.5
492,0.0
493,0.8
494,0.0
495,-0.5
496,-0.5
497,0.2
498,-0.5
499,0.2
500,0.0
501,3.8
502,-0.5
503,0.0
504,5.2
505,0.0
506,1.8
507,0.0
509,2.8
510,0.0
511,1.8
512,0.0
513,0.8
514,0.0
515,-0.2
516,11.5
517,0.0
518,0.0
519,1.8
520,1.8
521,0.0
583,3.5
639,0.5
640,0.0
641,-0.5
702,-0.5
522,0.8
523,1.5
524,2.2
525,0.8
526,3.6
527,-0.5
528,2.8
529,-0.5
530,-0.4
531,0.0
532,0.5
533,-0.5
534,0.2
535,0.5
536,-0.5
537,-0.2
538,-0.5
539,2.8
541,0.0
542,0.5
543,0.0
544,3.5
577,-0.5
642,0.8
647,-0.5
664,4.8
676,-0.5
689,0.5
351,1.2
545,1.5
546,0.5
547,0.0
548,0.5
549,0.0
550,0.0
551,1.8
552,1.5
554,0.0
555,0.5
556,0.0
557,4.8
559,2.8
560,0.5
561,0.5
562,0.8
563,1.8
564,0.5
565,2.2
567,8.5
568,0.0
569,3.2
570,0.8
571,0.0
572,1.2
573,0.8
574,1.5
590,3.8
598,0.8
697,0.5
698,0.5
704,0.5
715,0.5
