id,xP
3,4.1
4,0.0
5,2.1
6,1.5
7,7.7
8,1.1
9,0.0
10,3.1
11,1.1
12,0.9
13,4.9
14,0.0
15,4.1
16,2.7
17,0.0
19,4.1
20,0.0
22,0.0
23,2.1
24,0.5
25,0.7
26,0.0
27,0.0
28,3.5
111,2.3
130,2.5
313,0.5
607,0.5
630,0.5
631,0.5
655,0.5
668,0.5
685,0.0
710,2.3
751,0.5
29,0.0
31,2.6
32,0.6
33,0.8
34,0.6
35,0.2
36,0.0
37,2.6
38,0.0
39,4.4
40,2.2
41,0.0
42,3.0
43,0.2
44,3.2
45,1.4
46,4.8
47,3.4
49,0.0
50,0.2
51,0.0
52,0.0
53,0.4
54,0.0
55,0.0
56,0.0
479,1.4
525,0.0
537,0.0
538,2.2
638,0.0
670,0.0
672,0.0
694,3.0
707,0.0
711,0.6
744,0.0
745,0.0
753,0.0
754,0.0
755,0.0
761,0.0
57,0.5
58,0.0
59,0.0
60,-0.3
61,0.0
62,0.1
63,0.0
64,3.9
65,-0.3
66,3.3
67,0.3
68,0.0
69,2.1
70,2.1
71,0.9
72,-0.5
73,2.1
74,0.0
75,0.9
76,-0.5
77,0.0
404,-0.5
505,1.3
535,0.0
539,0.0
571,-0.5
574,2.5
576,0.9
597,0.0
598,0.0
649,-0.5
695,-0.5
696,-0.5
697,-0.5
705,1.1
706,-0.5
714,0.9
718,2.5
722,-0.1
723,0.0
737,-0.5
738,-0.5
78,0.0
79,0.0
80,4.0
81,4.6
82,0.0
83,2.4
84,0.0
85,2.8
86,2.4
87,0.4
88,2.8
89,2.8
90,1.4
91,0.0
92,3.8
93,2.8
94,1.4
95,5.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
510,2.4
515,0.0
517,0.0
526,4.6
540,0.0
541,0.0
580,1.4
595,2.8
632,0.0
633,0.0
646,0.0
650,0.0
688,1.8
752,0.0
101,0.0
102,9.0
103,6.0
104,6.4
106,4.6
107,0.0
108,0.7
109,0.3
113,-1.0
114,0.0
115,0.0
116,7.4
117,0.0
118,0.0
119,0.0
120,3.0
121,0.0
122,0.0
123,8.4
124,4.4
125,5.6
126,0.0
149,3.0
542,0.0
543,0.0
544,-1.4
559,1.6
586,10.4
596,0.4
640,0.0
651,-1.0
652,0.0
677,-1.0
679,4.4
719,-0.6
736,-0.6
756,-1.0
762,-0.6
765,1.8
48,0.0
112,0.0
127,0.2
128,1.0
129,0.0
131,0.0
132,1.8
133,1.8
134,2.2
135,1.5
136,1.2
137,0.0
138,0.0
139,0.0
140,0.0
141,1.5
142,0.0
143,0.0
144,0.0
145,1.0
146,0.0
147,0.2
148,3.0
150,0.0
151,0.0
272,0.2
304,5.8
520,0.0
606,0.0
616,0.0
617,0.5
635,0.0
653,0.0
661,0.5
673,0.0
684,0.0
689,2.0
690,2.2
699,0.8
702,0.0
708,3.2
724,2.0
18,0.7
152,0.5
153,0.0
154,0.7
155,0.0
156,3.9
157,0.5
158,0.0
159,4.1
160,2.3
161,2.2
163,1.9
164,0.7
165,3.1
166,1.7
167,3.7
168,0.9
169,6.9
170,3.9
171,4.1
172,0.0
173,0.0
174,0.0
175,4.3
495,0.0
496,0.0
514,2.5
530,0.7
590,0.5
601,0.5
604,0.0
634,0.0
642,0.5
644,0.5
654,0.5
676,0.5
725,0.4
110,-0.4
176,-1.0
177,0.0
178,0.0
179,-0.2
180,0.4
181,0.0
182,3.2
183,0.0
