id,xP
1,0.5
3,5.3
4,0.0
5,0.9
6,0.0
7,5.0
8,1.7
9,0.0
10,4.1
11,1.5
12,1.3
13,4.9
14,1.3
15,2.3
16,4.5
17,0.0
18,1.5
19,6.1
20,0.0
22,0.0
23,0.0
24,0.5
25,0.7
26,4.7
27,0.5
28,6.7
313,1.1
607,0.5
29,0.2
30,1.0
31,3.2
32,-0.4
33,-0.2
34,0.0
35,-1.0
36,-1.0
37,0.6
38,0.0
39,0.2
40,3.6
41,-1.0
42,1.8
43,0.0
44,0.2
45,2.4
46,1.6
47,1.2
49,0.0
50,0.0
51,0.0
52,0.0
53,0.8
54,-0.8
55,0.0
56,-1.0
410,-0.8
479,0.0
525,-1.0
537,0.0
538,-0.6
57,0.8
58,0.0
59,0.4
60,0.0
61,0.2
62,1.6
63,0.2
64,1.8
65,0.0
66,3.0
67,2.8
68,0.6
69,1.8
70,2.8
71,1.0
72,0.4
73,2.2
74,0.0
75,2.2
76,0.8
77,0.0
404,0.2
505,0.0
535,2.2
539,0.0
574,1.2
576,-0.2
597,0.0
598,0.3
78,1.6
79,0.0
80,7.4
81,4.2
82,0.0
83,2.6
84,0.0
85,2.4
86,3.6
87,0.4
88,4.8
89,4.0
90,1.2
91,0.0
92,0.0
93,0.6
94,1.8
95,4.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
510,1.6
515,1.6
517,0.0
526,3.8
540,0.0
541,0.0
580,0.4
595,1.7
101,0.0
102,0.0
103,3.0
104,5.4
106,4.0
107,3.0
108,3.8
109,4.8
111,6.2
113,4.8
114,0.8
115,0.0
116,7.8
117,0.0
118,2.0
119,0.0
120,3.6
121,0.0
122,0.0
123,0.4
124,0.8
125,0.0
126,0.0
149,0.2
542,0.0
543,0.0
544,0.2
559,0.2
586,3.0
596,0.0
48,0.5
112,2.9
127,1.3
128,3.1
129,0.0
130,2.3
131,0.0
132,1.3
133,0.5
134,0.0
135,1.1
136,2.1
137,0.0
138,0.0
139,3.1
140,1.3
141,0.9
142,2.7
143,0.0
144,0.0
145,2.9
146,3.7
147,2.5
148,0.9
150,1.1
151,0.0
272,0.7
304,6.7
520,2.1
606,0.0
616,0.0
617,0.0
152,2.8
153,0.0
154,0.0
155,0.0
156,2.0
157,1.2
158,0.6
159,2.0
160,5.8
161,2.2
162,0.0
163,0.6
164,0.0
165,3.6
166,1.8
167,2.2
168,1.6
169,4.0
170,3.2
171,1.4
172,0.0
173,0.0
174,0.0
175,0.0
495,0.0
496,0.0
514,3.0
530,0.4
590,0.0
601,0.0
604,0.0
110,-0.6
176,-1.0
177,-0.4
178,-1.0
179,0.0
180,-0.8
181,0.0
182,3.4
183,-1.0
184,0.0
185,0.0
186,1.6
187,0.0
188,0.0
189,2.6
190,0.2
191,0.0
192,0.0
193,0.0
194,1.6
195,3.0
196,0.0
197,1.4
198,0.0
199,1.6
475,3.0
531,-0.8
534,0.6
560,-1.0
561,0.0
570,-1.0
577,1.2
605,-1.0
611,0.7
2,1.5
105,-0.3
200,0.5
201,1.7
202,-0.5
203,-0.1
204,1.7
205,2.5
206,0.0
207,0.0
208,0.0
209,1.7
210,4.7
211,1.3
212,0.0
213,0.7
214,-0.5
215,2.1
216,-0.5
217,1.3
218,0.0
219,0.9
220,1.9
231,0.9
346,3.7
470,-0.3
521,-0.3
532,0.7
546,-0.5
562,0.0
591,-0.5
613,1.5
614,1.6
618,1.1
248,0.0
249,0.8
250,0.0
251,0.0
252,0.0
253,0.0
254,1.4
255,2.4
256,0.0
257,0.6
258,0.4
259,2.8
260,1.4
261,3.4
262,2.6
263,0.0
264,2.4
265,1.8
266,1.6
267,0.0
268,1.4
269,1.0
270,-0.2
271,2.6
273,0.0
548,0.0
549,0.2
581,0.0
612,2.0
221,0.0
222,0.4
223,0.8
224,0.6
225,0.0
226,0.0
227,0.6
228,2.4
229,0.0
230,2.2
232,0.0
233,4.6
234,0.0
235,3.4
236,0.0
237,0.4
238,2.8
239,0.0
240,0.2
241,0.0
242,0.8
243,0.0
244,1.8
245,3.0
246,3.4
247,0.0
506,2.0
508,3.6
547,0.2
565,0.0
578,0.0
619,1.3
274,3.0
275,0.0
276,1.2
277,0.0
278,0.0
279,7.8
280,5.4
281,4.8
282,3.0
283,6.2
284,4.0
285,5.6
286,4.8
287,0.0
288,0.9
289,0.5
290,0.0
291,1.0
292,3.0
293,7.0
294,4.4
296,4.6
297,1.0
298,0.0
497,1.0
498,0.0
499,0.0
500,0.0
501,1.4
563,1.0
564,1.2
584,1.2
592,1.0
620,0.7
299,4.2
300,6.4
301,6.8
302,4.2
303,3.0
305,0.9
306,6.2
