id,xP
1,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
313,0.0
607,0.0
630,0.0
631,0.0
29,1.5
30,1.5
31,2.8
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,2.0
38,0.0
39,1.4
40,2.0
41,0.0
42,1.2
43,0.8
44,2.2
45,1.0
46,1.8
47,2.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.5
55,0.0
56,0.0
410,0.5
479,0.8
525,0.0
537,0.0
538,5.2
638,0.0
57,2.7
58,-0.3
59,0.5
60,0.0
61,-0.5
62,0.7
63,-0.5
64,2.7
65,0.0
66,5.5
67,1.7
68,-0.4
69,3.0
70,4.5
71,2.0
72,-0.5
73,0.0
74,-0.3
75,0.0
76,1.3
77,-0.5
404,0.0
505,-0.3
535,1.7
539,-0.5
574,3.0
576,3.0
597,0.0
598,0.0
78,0.0
79,0.0
80,4.5
81,6.0
82,-0.3
83,0.5
84,2.5
85,4.0
86,2.0
87,0.3
88,2.0
89,1.0
90,1.3
91,0.0
92,2.3
93,1.7
94,1.0
95,1.5
96,-0.5
97,0.0
98,0.0
99,0.0
100,0.0
510,0.0
515,-0.5
517,0.0
526,4.5
540,0.0
541,0.0
580,0.5
595,1.3
632,-0.5
633,-0.5
101,2.0
102,0.5
103,3.3
104,2.7
106,3.5
107,3.7
108,2.5
109,3.0
111,7.3
113,3.3
114,1.0
115,0.0
116,2.5
117,0.0
118,0.0
119,0.5
120,2.3
121,0.0
122,0.0
123,1.0
124,0.0
125,0.5
126,0.0
149,0.7
542,0.0
543,0.0
544,0.1
559,0.1
586,1.3
596,0.5
640,0.5
48,1.0
112,4.0
127,4.3
128,3.7
129,0.0
130,2.3
131,0.0
132,3.3
133,7.0
134,0.0
135,0.5
136,3.0
137,0.0
138,0.0
139,2.3
140,3.7
141,5.0
142,8.3
143,0.0
144,0.0
145,3.3
146,0.0
147,0.5
148,3.7
150,2.7
151,0.0
272,0.0
304,2.0
520,4.0
606,0.0
616,0.5
617,3.3
635,0.5
152,4.5
153,0.2
154,0.0
155,0.0
156,3.0
157,0.0
158,0.5
159,2.8
160,4.5
161,2.0
162,0.0
163,0.0
164,0.5
165,2.2
166,5.0
167,2.5
168,1.0
169,6.2
170,1.2
171,3.2
172,0.0
173,0.0
174,0.0
175,0.0
495,0.0
496,0.0
514,1.0
530,0.0
590,0.0
601,0.0
604,0.0
634,0.0
642,0.0
644,1.4
110,1.5
176,0.0
177,0.8
178,1.8
179,0.0
180,0.0
181,0.0
182,2.0
183,0.0
184,0.0
185,0.2
186,4.5
187,0.0
188,0.0
189,2.0
190,0.2
191,0.8
192,0.0
193,0.0
194,1.2
195,0.8
196,0.0
197,0.0
