id,xP
3,3.8
4,0.5
5,0.8
6,3.2
7,5.8
8,0.8
9,0.0
10,5.5
11,5.8
12,0.8
13,6.5
14,2.5
15,6.5
16,4.5
17,0.0
19,2.8
20,0.0
22,0.0
23,0.0
24,0.5
25,0.8
26,5.2
27,0.5
28,0.0
111,0.8
130,2.0
313,4.5
607,0.5
630,0.5
631,0.5
655,0.5
668,0.5
685,0.5
710,1.8
29,0.7
31,4.3
32,0.0
33,0.0
34,0.0
35,0.0
36,0.3
37,0.0
38,0.0
39,5.0
40,2.8
41,0.0
42,5.3
43,0.8
44,3.7
45,5.7
46,3.0
47,2.0
49,0.0
50,0.0
51,0.0
52,0.0
53,3.0
54,0.0
55,0.0
56,0.0
479,0.7
525,0.3
537,0.0
538,3.0
638,0.0
670,0.0
672,0.0
694,3.5
707,1.4
711,1.8
57,1.2
58,0.0
59,0.0
60,0.0
61,0.0
62,2.2
63,0.0
64,2.5
65,0.8
66,0.0
67,0.0
68,1.2
69,2.5
70,1.5
71,1.2
72,1.2
73,1.5
74,1.5
75,5.2
76,1.2
77,0.5
404,1.2
505,2.2
535,0.0
539,0.0
571,0.5
574,1.5
576,1.2
597,0.0
598,0.0
649,0.5
695,0.5
696,0.5
697,0.5
705,2.4
706,1.7
714,2.0
718,2.5
722,2.5
723,1.9
78,0.0
79,3.0
80,5.0
81,7.5
82,0.0
83,3.5
84,6.0
85,2.2
86,2.0
87,0.0
88,6.5
89,1.5
90,3.5
91,0.0
92,6.0
93,0.0
94,0.0
95,2.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
510,0.0
515,0.5
517,0.0
526,6.5
540,0.0
541,0.0
580,0.5
595,0.5
632,0.0
633,0.0
646,0.0
650,0.0
688,0.5
101,1.7
102,0.0
103,2.3
104,4.3
106,2.7
107,10.7
108,0.3
109,2.7
113,3.7
114,1.0
115,0.0
116,1.7
117,0.0
118,0.0
119,2.3
120,3.3
121,0.0
122,0.0
123,0.0
124,8.0
125,0.3
126,0.0
149,0.0
542,0.0
543,0.0
544,0.3
559,0.8
586,5.7
596,7.3
640,0.0
651,0.3
652,0.0
677,0.0
679,0.0
719,1.4
48,1.3
112,1.7
127,0.7
128,3.7
129,0.0
131,0.0
132,0.5
133,5.0
134,0.0
135,2.5
136,-0.5
137,0.0
138,0.0
139,0.0
140,0.0
141,2.3
142,2.0
143,0.0
144,0.0
145,2.5
146,0.0
147,0.0
148,1.3
150,0.0
151,0.0
272,0.0
304,0.0
520,2.3
606,0.0
616,0.0
617,0.5
635,-0.5
653,-0.3
661,1.0
673,-0.5
684,-0.5
689,3.0
690,0.0
699,2.0
702,0.9
708,1.6
724,1.4
18,0.0
152,4.0
153,0.2
154,0.0
155,0.0
156,1.5
157,1.0
158,0.2
159,2.0
160,2.2
161,2.5
163,0.5
164,0.0
165,0.0
166,1.5
167,2.0
168,1.0
169,1.8
170,2.8
171,3.2
172,0.0
173,0.0
174,0.0
175,0.0
495,0.0
496,0.0
514,1.8
530,2.0
590,0.0
601,0.0
604,0.0
634,0.0
642,0.0
