id,xP
1,1.2
3,5.5
4,0.0
5,1.2
6,5.0
7,6.5
8,2.0
9,0.0
10,5.8
11,2.0
12,0.0
13,8.2
14,4.8
15,5.8
16,5.2
17,0.0
18,1.0
19,7.2
20,0.0
22,0.0
23,5.8
24,0.8
25,2.0
26,4.8
27,0.8
28,5.5
313,0.5
607,1.0
630,1.0
631,1.0
655,2.4
29,1.0
30,3.8
31,2.6
32,0.2
33,0.2
34,0.0
35,-0.2
36,0.0
37,1.4
38,0.0
39,2.2
40,2.6
41,0.0
42,1.8
43,1.8
44,1.8
45,3.4
46,2.2
47,1.4
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.6
55,0.0
56,0.0
410,0.2
479,1.6
525,0.0
537,0.0
538,3.8
638,0.0
57,1.2
58,-0.8
59,0.2
60,0.0
61,-1.0
62,2.4
63,-1.0
64,1.8
65,-0.6
66,3.0
67,0.8
68,-1.0
69,1.8
70,3.2
71,0.0
72,-0.4
73,0.0
74,-0.8
75,-0.2
76,-0.4
77,-1.0
404,-0.8
505,-0.8
535,1.6
539,-1.0
574,0.0
576,0.4
597,0.0
598,0.0
649,0.4
78,0.0
79,0.0
80,4.4
81,5.0
82,0.6
83,1.2
84,1.6
85,2.8
86,2.2
87,0.6
88,2.0
89,1.6
90,1.6
91,0.0
92,2.6
93,2.0
94,0.8
95,2.4
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
510,0.0
515,0.2
517,0.0
526,4.8
540,0.0
541,0.0
580,0.4
595,1.2
632,0.0
633,0.0
646,0.0
650,1.3
101,1.1
102,-0.5
103,1.1
104,2.5
106,2.3
107,2.3
108,1.9
109,1.1
111,3.7
113,2.5
114,0.1
115,0.0
116,1.5
117,0.0
118,0.0
119,-0.1
120,1.1
121,0.0
122,0.0
123,0.1
124,0.9
125,0.1
126,0.0
149,-0.1
542,0.0
543,0.0
544,-0.5
559,0.0
586,1.5
596,-0.5
640,-0.5
651,0.8
652,0.8
